Benchmark	Advice#	Advice	Pattern	Size	Precision	Concreteness
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, ZoomDrawingView.forceRedraw()]	2	0.25	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, JHotDrawRuntimeException.<init>(String;)]	2	0.1111111111111111	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, Point.y]	2	0.016042780748663103	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, sets_field, Point.x]	2	0.02	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, RuntimeException.<init>(String;)]	2	0.06666666666666667	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, Dimension.height]	2	0.019230769230769232	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, sets_field, ZoomDrawingView.scale]	2	0.16666666666666666	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, ZoomDrawingView.scale]	2	0.058823529411764705	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, overrides, *AbstractCommand.execute()]	1	0.5405405405405406	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, overrides, Command.execute()]	1	0.5526315789473685	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, JComponent.revalidate()]	2	0.1111111111111111	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, ZoomDrawingView.setUserSize(Dimension;)]	2	0.3333333333333333	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, JViewport.getViewPosition()]	2	0.3333333333333333	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, AbstractCommand.view()]	2	0.21428571428571427	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, Point.x]	2	0.016042780748663103	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, overrides, *?, overrides, Command.execute()]	2	0.5405405405405406	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ZoomCommand.zoomView()]	1	1.0	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Component.getParent()]	2	0.04	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ZoomDrawingView.zoom(F)]	1	1.0	0.5	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, JViewport.setViewPosition(Point;)]	2	0.125	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Point.<init>(I,I)]	2	0.010752688172043012	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, calls, Component.getSize()]	2	0.045454545454545456	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, sets_field, Dimension.width]	2	0.05555555555555555	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, sets_field, Point.y]	2	0.019230769230769232	0.3333333333333333	
AJHotDraw	0	CommandContracts.before(AbstractCommand)	[*?, calls, ?, gets_field, Dimension.width]	2	0.019230769230769232	0.3333333333333333	
